Sourcerecord id,"Source Title (Medline-sourced journals are indicated in Green)
Titles indicated in bold red do not meet the Scopus quality criteria anymore and therefore Scopus discontinued the forward capturing",Print-ISSN,E-ISSN,2017 CiteScore,"2017
SJR","2017
SNIP"
19600162104,"Acta brevia Neerlandica de physiologia, pharmacologia, microbiologia e.a",3650766,,,,
21977,Acta Cardiologica,15385,,0.66,0.404,0.376
20701,Acta Cardiologica Sinica,10116842,,0.88,0.363,0.47
53268,Acta Cardiomiologica,11248874,,,,
94302,Acta Carsologica,5836050,15802612,0.8,0.384,0.532
61411,Acta Chemica Scandinavica,15393,,,,
38590,Acta Chemica Scandinavica,0904213X,,,,
38717,Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry,3024369,,,,
77333,Acta Chimica Academiae Scientiarum Hungaricae,15407,,,,
94360,Acta Chimica Hungarica,2313146,,,,
4800152303,Acta Chimica Sinica,5677351,,2.17,0.543,0.502
21100855857,Acta Chimica Sinica English Edition,2567660,16147065,,,
22658,Acta Chimica Slovenica,13180207,,1.01,0.274,0.548
24079,Acta Chiropterologica,15081109,,1.28,0.63,0.922
38410,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,15415,2570981X,0.6,0.317,0.413
20397,Acta Chirurgiae Plasticae,15423,18054404,0.18,0.142,0.1
73810,Acta Chirurgiae Plasticae,3230414,,,,
83118,Acta Chirurgica Academiae Scientiarum Hungaricae,15431,,,,
21100778825,Acta Chirurgica Austriaca,0001544X,16824016,,,
20400,Acta Chirurgica Belgica,15458,,0.46,0.205,0.316
34174,Acta Chirurgica Hungarica,2314614,,,,
20402,Acta Chirurgica Italica,15466,,,,
84717,Acta chirurgica Iugoslavica,0354950X,,,0.156,
19600166164,Acta chirurgica Patavina,3906892,,,,
110207,Acta Chirurgica Scandinavica,15482,,,,
35714,"Acta Chirurgica Scandinavica, Supplement",3011860,,,,
22659,Acta Chromatographica,12332356,,0.52,0.215,0.274
18749,Acta Cientifica Venezolana,15504,,,,
146161,Acta Cirurgica Brasileira,1028650,,0.94,0.395,0.49
28296,Acta Classica,651141,,0.2,0.133,0.86
32957,Acta Clinica Belgica,17843286,22953337,0.75,0.322,0.389
78877,Acta clinica Belgica. Supplementum,5677386,,,,
26518,Acta Clinica Croatica,3539466,13339451,0.45,0.209,0.329
26534,"Acta Clinica Croatica, Supplement",3539474,,,,
21100853996,Acta Colombiana de Cuidado Intensivo,1227262,,,,
10600153356,Acta Colombiana de Psicologia,1239155,,0.25,0.143,0.266
19600157337,Acta Comeniana,2315955,,,0.102,0
21100788778,Acta Conventus Neo-Latini,22126007,,,,
22289,Acta Criminologiae et Medicinae Legalis Japonica,3020029,,,,
34782,Acta Crystallographica,0365110X,,,,
21100326898,Acta Crystallographica Section A: Foundations and Advances,,20532733,12.82,5.99,6.867
24653,Acta Crystallographica Section A: Foundations of Crystallography,1087673,,,,
24645,Acta Crystallographica Section B: Structural Science,1087681,16005740,,,
21100246534,"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",20525206,,4.54,1.654,1.604
