"ISSN","T.tulo","Estrato","Area"
"1948206X","ANAL PDE","A1","matematica_probabilidade_e_estatistica"
"02402963","ANNALES DE LA FACULT� DES SCIENCES DE TOULOUSE","B3","matematica_probabilidade_e_estatistica"
"17775310","ANNALES DE L'INSTITUT FOURIER (ONLINE)","A2","matematica_probabilidade_e_estatistica"
"17787017","ANNALES DE L'INSTITUT HENRI POINCAR�. B, PROBABILIT�S ET STATISTIQUES","A1","matematica_probabilidade_e_estatistica"
"19894147","APPLIED GENERAL TOPOLOGY (ONLINE)","B5","matematica_probabilidade_e_estatistica"
"14208938","ARCHIV DER MATHEMATIK (ELECTRONIC ED.)","B1","matematica_probabilidade_e_estatistica"
"19316690","BAYESIAN ANALYSIS (ONLINE)","A1","matematica_probabilidade_e_estatistica"
"01754874","BEITRAGE ZUR ALGEBRA UND GEOMETRIE / CONTRIBUTIONS TO ALGEBRA AND GEOMETRY","B3","matematica_probabilidade_e_estatistica"
"1980024X","BOLETIM DE INICIA��O CIENT�FICA EM MATEM�TICA","C ","matematica_probabilidade_e_estatistica"
"1405213X","BOLET�N DE LA SOCIEDAD MATEM�TICA MEXICANA (ONLINE)","B4","matematica_probabilidade_e_estatistica"
"16787714","BULLETIN BRAZILIAN MATHEMATICAL SOCIETY (ONLINE)","A2","matematica_probabilidade_e_estatistica"
"23034874","BULLETIN OF THE INTERNATIONAL MATHEMATICAL VIRTUAL INSTITUTE","B5","matematica_probabilidade_e_estatistica"
"02397269","BULLETIN OF THE POLISH ACADEMY OF SCIENCES. MATHEMATICS","B3","matematica_probabilidade_e_estatistica"
"14964287","CANADIAN MATHEMATICAL BULLETIN (PRINT)","B3","matematica_probabilidade_e_estatistica"
"19293100","CANADIAN WILDLIFE BIOLOGY & MANAGEMENT","C ","matematica_probabilidade_e_estatistica"
"16443616","CENTRAL EUROPEAN JOURNAL OF MATHEMATICS","B2","matematica_probabilidade_e_estatistica"
"14151472","CI�NCIA COGNITIVA","C ","matematica_probabilidade_e_estatistica"
"23834757","COMMUNICATIONS FOR STATISTICAL APPLICATIONS AND METHODS","B4","matematica_probabilidade_e_estatistica"
"15324125","COMMUNICATIONS IN ALGEBRA (ONLINE)","B1","matematica_probabilidade_e_estatistica"
"20380909","COMMUNICATIONS IN APPLIED AND INDUSTRIAL MATHEMATICS","B4","matematica_probabilidade_e_estatistica"
"23737484","COMMUNICATIONS IN STATISTICS: CASE STUDIES, DATA ANALYSIS AND APPLICATIONS ONLINE","B4","matematica_probabilidade_e_estatistica"
"07061994","COMPTES RENDUS MATH�MATIQUES DE L'ACAD�MIE DES SCIENCES","B4","matematica_probabilidade_e_estatistica"
"17486718","COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE (ONLINE)","B5","matematica_probabilidade_e_estatistica"
"21937680","CRIME SCIENCE","C ","matematica_probabilidade_e_estatistica"
"1847120X","DEA - DIFFERENTIAL EQUATIONS AND APPLICATIONS","B3","matematica_probabilidade_e_estatistica"
"18968325","DECISION MAKING IN MANUFACTURING AND SERVICES","C ","matematica_probabilidade_e_estatistica"
"15535231","DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS. SERIES A","B1","matematica_probabilidade_e_estatistica"
"1513489X","EAST-WEST JOURNAL OF MATHEMATICS","B5","matematica_probabilidade_e_estatistica"
"02544415","ECONOM�A (LIMA)","B5","matematica_probabilidade_e_estatistica"
"14643839","EDINBURGH MATHEMATICAL SOCIETY. PROCEEDINGS","A2","matematica_probabilidade_e_estatistica"
"15506150","ELECTRONIC JOURNAL OF DIFFERENTIAL EQUATIONS (PRINT)","B2","matematica_probabilidade_e_estatistica"
"18192408","ELECTRONIC JOURNAL ""TECHNICAL ACOUSTICS""","C ","matematica_probabilidade_e_estatistica"
"00136018","ELEMENTE DER MATHEMATIK (PRINTED ED.)","B4","matematica_probabilidade_e_estatistica"
"12623377","ESAIM. CONTR�LE, OPTIMISATION ET CALCUL DES VARIATIONS","A2","matematica_probabilidade_e_estatistica"
"00141135","ESTAD�STICA (SANTIAGO DE CHILE)","B5","matematica_probabilidade_e_estatistica"
"13075543","EUROPEAN JOURNAL OF PURE AND APPLIED MATHEMATICS","B5","matematica_probabilidade_e_estatistica"
"02138743","EXTRACTA MATHEMATICAE","B4","matematica_probabilidade_e_estatistica"
"13640380","GEOMETRY & TOPOLOGY (ONLINE)","A1","matematica_probabilidade_e_estatistica"
"15531732","INTEGERS","B3","matematica_probabilidade_e_estatistica"
"16877098","INTERDISCIPLINARY PERSPECTIVES ON INFECTIOUS DISEASES (ONLINE)","B4","matematica_probabilidade_e_estatistica"
"23607866","INTERNATIONAL JOURNAL OF ACADEMIC RESEARCH IN EDUCATION AND REVIEW","C ","matematica_probabilidade_e_estatistica"
"21995796","INTERNATIONAL JOURNAL OF APPLIED AND COMPUTATIONAL MATHEMATICS (ONLINE)","B4","matematica_probabilidade_e_estatistica"
"09737545","INTERNATIONAL JOURNAL OF APPLIED MATHEMATICS AND STATISTICS (ONLINE)","B5","matematica_probabilidade_e_estatistica"
"13127586","INTERNATIONAL JOURNAL OF CONTEMPORARY MATHEMATICAL SCIENCES","C ","matematica_probabilidade_e_estatistica"
