ISSN,T�tulo,Estrato
2327-6150,AMERICAN JOURNAL OF EDUCATIONAL RESEARCH,B3
2320-0847,AMERICAN JOURNAL OF ENGINEERING RESEARCH,B5
2166-4633,AMERICAN JOURNAL OF ENVIRONMENTAL ENGINEERING,B5
2166-4633,AMERICAN JOURNAL OF ENVIRONMENTAL ENGINEERING,B5
1553-345X,AMERICAN JOURNAL OF ENVIRONMENTAL SCIENCES,C 
1557-458X,AMERICAN JOURNAL OF FOOD TECHNOLOGY,C 
1042-0533,AMERICAN JOURNAL OF HUMAN BIOLOGY,A2
0002-9297,AMERICAN JOURNAL OF HUMAN GENETICS,A1
2317-126X,"AMERICAN JOURNAL OF HYDROPOWER, WATER AND ENVIRONMENT SYSTEMS",B5
0895-7061,AMERICAN JOURNAL OF HYPERTENSION,A1
2164-5167,AMERICAN JOURNAL OF INDUSTRIAL AND BUSINESS MANAGEMENT,B4
0271-3586,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE (PRINT),B1
0196-6553,AMERICAN JOURNAL OF INFECTION CONTROL,A2
2328-4099,AMERICAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH (ONLINE),B5
1552-4825,AMERICAN JOURNAL OF MEDICAL GENETICS. PART A,A2
2165-901X,AMERICAN JOURNAL OF MEDICINE AND MEDICAL SCIENCES,C 
0195-6108,AMERICAN JOURNAL OF NEURORADIOLOGY,A1
0002-9378,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY (PRINT),A1
2324-6537,AMERICAN JOURNAL OF OPERATIONAL RESEARCH,B4
2160-8830,AMERICAN JOURNAL OF OPERATIONS RESEARCH,B4
0889-5406,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,A2
